aligner,instance,time,ram,sp,tc
kalign2,benchmarks/balibase/RV11/BB11017.tfa,0.005262424,1860,0.662,0.57
kalign,benchmarks/balibase/RV11/BB11016.tfa,0.033176967,4696,0.435,0.12
muscle,benchmarks/balibase/RV11/BB11008.tfa,0.019381463,4460,0.315,0.23
kalign,benchmarks/balibase/RV11/BB11017.tfa,0.012047664,4252,0.688,0.61
muscle,benchmarks/balibase/RV11/BB11009.tfa,0.017527263,4240,0.303,0
muscle,benchmarks/balibase/RV11/BB11010.tfa,0.027387916,5304,0.246,0.06
kalign2,benchmarks/balibase/RV11/BB11018.tfa,0.086602037,2468,0.475,0.23
muscle,benchmarks/balibase/RV11/BB11011.tfa,0.016850207,4024,0.108,0
kalign,benchmarks/balibase/RV11/BB11018.tfa,0.086547074,4980,0.4,0.17
kalign2,benchmarks/balibase/RV11/BB11019.tfa,0.021125703,2116,0.594,0.14
kalign2,benchmarks/balibase/RV11/BB11020.tfa,0.010163134,2124,0.579,0.28
muscle,benchmarks/balibase/RV11/BB11012.tfa,0.030112985,4808,0.85,0.77
kalign,benchmarks/balibase/RV11/BB11019.tfa,0.027956416,4564,0.583,0.14
kalign2,benchmarks/balibase/RV11/BB11021.tfa,0.003479071,1864,0.59,0.37
muscle,benchmarks/balibase/RV11/BB11013.tfa,0.006268465,3452,0.014,0
kalign,benchmarks/balibase/RV11/BB11020.tfa,0.012486845,4524,0.627,0.25
kalign2,benchmarks/balibase/RV11/BB11022.tfa,0.002712778,1864,0.135,0
kalign,benchmarks/balibase/RV11/BB11021.tfa,0.00721606,4128,0.519,0.38
kalign2,benchmarks/balibase/RV11/BB11023.tfa,0.011624105,2004,0.465,0.23
kalign,benchmarks/balibase/RV11/BB11022.tfa,0.009657149,4336,0.137,0
kalign2,benchmarks/balibase/RV11/BB11024.tfa,0.011682129,2012,0.26,0
kalign,benchmarks/balibase/RV11/BB11023.tfa,0.011900605,4348,0.479,0.28
kalign2,benchmarks/balibase/RV11/BB11025.tfa,0.006094521,1880,0.085,0
kalign,benchmarks/balibase/RV11/BB11024.tfa,0.010435823,4528,0.189,0
muscle,benchmarks/balibase/RV11/BB11014.tfa,0.09660757,6352,0.745,0.59
kalign2,benchmarks/balibase/RV11/BB11026.tfa,0.022061378,2280,0.115,0
kalign,benchmarks/balibase/RV11/BB11025.tfa,0.003785912,4260,0.105,0
kalign2,benchmarks/balibase/RV11/BB11027.tfa,0.007346229,1976,0.38,0.12
muscle,benchmarks/balibase/RV11/BB11015.tfa,0.023296034,4384,0.767,0.68
kalign,benchmarks/balibase/RV11/BB11026.tfa,0.016758601,4416,0.077,0
kalign2,benchmarks/balibase/RV11/BB11028.tfa,0.006997994,1916,0.541,0
kalign,benchmarks/balibase/RV11/BB11027.tfa,0.010042436,4332,0.264,0.09
kalign2,benchmarks/balibase/RV11/BB11029.tfa,0.003450469,1924,0.434,0.39
kalign,benchmarks/balibase/RV11/BB11028.tfa,0.01010525,4208,0.552,0
kalign2,benchmarks/balibase/RV11/BB11030.tfa,0.024956178,2104,0.445,0.09
kalign,benchmarks/balibase/RV11/BB11029.tfa,0.004375883,4124,0.508,0.48
muscle,benchmarks/balibase/RV11/BB11016.tfa,0.093886402,6880,0.22,0
kalign2,benchmarks/balibase/RV11/BB11031.tfa,0.02873342,2084,0.111,0
kalign,benchmarks/HomFam/Acetyltransf_ref.tfa,0,4400,0.593,0.37
kalign,benchmarks/balibase/RV11/BB11030.tfa,0.024057575,4560,0.37,0
muscle,benchmarks/balibase/RV11/BB11017.tfa,0.017926482,4240,0.73,0.63
muscle,benchmarks/HomFam/Acetyltransf_ref.tfa,0.02,4040,0.516,0.34
clustalo,benchmarks/HomFam/Acetyltransf_ref.tfa,0.19,5336,0.592,0.39
kalign,benchmarks/HomFam/Acetyltransf_test-only.tfa,164.31,478084,-1,-1
kalign,benchmarks/HomFam/Ald_Xan_dh_2_ref.tfa,0.04,4648,0.854,0.78
kalign,benchmarks/HomFam/Ald_Xan_dh_2_test-only.tfa,1.53,15948,-1,-1
kalign,benchmarks/HomFam/ChtBD_ref.tfa,0,4092,0.99,0.97
kalign,benchmarks/HomFam/ChtBD_test-only.tfa,0.14,6404,-1,-1
kalign,benchmarks/HomFam/DEATH_ref.tfa,0,4364,0.603,0.09
kalign2,benchmarks/balibase/RV11/BB11032.tfa,0.013907353,2008,0.574,0.33
kalign,benchmarks/HomFam/DEATH_test-only.tfa,0.57,9104,-1,-1
kalign,benchmarks/HomFam/DMRL_synthase_ref.tfa,0,4204,0.884,0.8
kalign,benchmarks/HomFam/DMRL_synthase_test-only.tfa,1.3,13324,-1,-1
kalign,benchmarks/balibase/RV11/BB11031.tfa,0.03264062,4724,0.221,0
kalign,benchmarks/HomFam/GEL_ref.tfa,0,4228,0.743,0.6
kalign,benchmarks/HomFam/GEL_test-only.tfa,1.08,13752,-1,-1
kalign,benchmarks/HomFam/HLH_ref.tfa,0.01,4196,0.846,0.8
kalign2,benchmarks/balibase/RV11/BB11033.tfa,0.011537169,2036,0.277,0
kalign,benchmarks/HomFam/HLH_test-only.tfa,3.56,37232,-1,-1
kalign,benchmarks/HomFam/HMG_box_ref.tfa,0,4100,0.968,0.93
kalign,benchmarks/HomFam/HMG_box_test-only.tfa,2.44,25644,-1,-1
kalign,benchmarks/HomFam/KAS_ref.tfa,0.01,4432,0.813,0.75
kalign,benchmarks/HomFam/KAS_test-only.tfa,1.73,15212,-1,-1
kalign,benchmarks/HomFam/LIM_ref.tfa,0,4136,1,1
kalign,benchmarks/HomFam/LIM_test-only.tfa,3.52,33092,-1,-1
kalign,benchmarks/HomFam/OTCace_ref.tfa,0.01,4344,0.89,0.83
kalign,benchmarks/HomFam/OTCace_test-only.tfa,4.03,28108,-1,-1
kalign,benchmarks/balibase/RV11/BB11032.tfa,0.01948638,4552,0.461,0.12
kalign,benchmarks/HomFam/PDZ_ref.tfa,0,4208,0.853,0.76
kalign2,benchmarks/balibase/RV11/BB11034.tfa,0.028116458,2204,0.439,0.15
kalign,benchmarks/HomFam/PDZ_test-only.tfa,15.17,106396,-1,-1
kalign,benchmarks/HomFam/Rhodanese_ref.tfa,0.01,4340,0.515,0.24
muscle,benchmarks/HomFam/Acetyltransf_test-only.tfa,-1,-1,-1,-1
kalign,benchmarks/balibase/RV11/BB11033.tfa,0.009349618,4196,0.368,0
kalign2,benchmarks/balibase/RV11/BB11035.tfa,0.003067353,1996,0.588,0.24
muscle,benchmarks/HomFam/Ald_Xan_dh_2_ref.tfa,0.09,7788,0.811,0.73
kalign2,benchmarks/balibase/RV11/BB11036.tfa,0.018288077,2024,0.182,0
clustalo,benchmarks/HomFam/Acetyltransf_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/Ald_Xan_dh_2_ref.tfa,2.33,43296,0.875,0.81
muscle,benchmarks/HomFam/Ald_Xan_dh_2_test-only.tfa,15.42,196444,-1,-1
muscle,benchmarks/HomFam/ChtBD_ref.tfa,0,3224,-1,-1
kalign,benchmarks/balibase/RV11/BB11034.tfa,0.031941122,4732,0.52,0.23
muscle,benchmarks/HomFam/ChtBD_test-only.tfa,0.82,27956,-1,-1
muscle,benchmarks/HomFam/DEATH_ref.tfa,0,3760,0.676,0.39
muscle,benchmarks/HomFam/DEATH_test-only.tfa,2.83,69384,-1,-1
muscle,benchmarks/HomFam/DMRL_synthase_ref.tfa,0,3788,0.884,0.8
muscle,benchmarks/HomFam/DMRL_synthase_test-only.tfa,9.76,195692,-1,-1
muscle,benchmarks/HomFam/GEL_ref.tfa,0,3672,0.564,0.24
muscle,benchmarks/HomFam/GEL_test-only.tfa,9.11,127148,-1,-1
muscle,benchmarks/HomFam/HLH_ref.tfa,0.01,3404,0.902,0.87
clustalo,benchmarks/HomFam/Ald_Xan_dh_2_test-only.tfa,60.55,43736,0.306,0
clustalo,benchmarks/HomFam/ChtBD_ref.tfa,0.03,2932,-1,-1
clustalo,benchmarks/HomFam/ChtBD_test-only.tfa,5.5,11808,0.266,0
clustalo,benchmarks/HomFam/DEATH_ref.tfa,0.12,4296,0.712,0.51
clustalo,benchmarks/HomFam/DEATH_test-only.tfa,26.98,20912,0.129,0
clustalo,benchmarks/HomFam/DMRL_synthase_ref.tfa,0.1,4500,0.953,0.9
clustalo,benchmarks/HomFam/DMRL_synthase_test-only.tfa,47.27,35088,0.398,0
kalign,benchmarks/balibase/RV11/BB11035.tfa,0.004142267,4288,0.321,0.21
clustalo,benchmarks/HomFam/GEL_ref.tfa,0.08,3860,0.687,0.53
kalign2,benchmarks/balibase/RV11/BB11037.tfa,0.02888232,2572,0.417,0.21
muscle,benchmarks/HomFam/HLH_test-only.tfa,99.63,364216,-1,-1
kalign,benchmarks/balibase/RV11/BB11036.tfa,0.024733032,4524,0.275,0.04
muscle,benchmarks/HomFam/HMG_box_ref.tfa,0,3448,0.965,0.92
clustalo,benchmarks/HomFam/GEL_test-only.tfa,36.56,37496,0.198,0
clustalo,benchmarks/HomFam/HLH_ref.tfa,0.05,3228,0.933,0.87
kalign2,benchmarks/balibase/RV11/BB11038.tfa,0.019338439,2228,0.624,0.33
kalign,benchmarks/HomFam/Rhodanese_test-only.tfa,15.58,115128,-1,-1
kalign,benchmarks/HomFam/Stap_Strp_toxin_ref.tfa,0,4420,0.708,0.38
kalign,benchmarks/HomFam/Stap_Strp_toxin_test-only.tfa,0.19,6600,-1,-1
kalign,benchmarks/HomFam/Sulfotransfer_ref.tfa,0,4252,0.714,0.33
kalign,benchmarks/HomFam/Sulfotransfer_test-only.tfa,4.04,24396,-1,-1
kalign,benchmarks/HomFam/TNF_ref.tfa,0,4376,0.856,0.74
kalign,benchmarks/HomFam/TNF_test-only.tfa,0.26,6996,-1,-1
kalign,benchmarks/HomFam/aadh_ref.tfa,0.02,4588,0.795,0.6
muscle,benchmarks/HomFam/HMG_box_test-only.tfa,44.48,274200,-1,-1
muscle,benchmarks/HomFam/KAS_ref.tfa,0.04,5296,0.839,0.77
kalign,benchmarks/HomFam/aadh_test-only.tfa,3.82,23428,-1,-1
kalign,benchmarks/HomFam/aat_ref.tfa,0.02,4580,0.817,0.56
muscle,benchmarks/HomFam/KAS_test-only.tfa,13.34,262468,-1,-1
muscle,benchmarks/HomFam/LIM_ref.tfa,0,3352,1,1
clustalo,benchmarks/HomFam/HLH_test-only.tfa,-1,-1,0.366,0
kalign2,benchmarks/balibase/RV11/BBS11001.tfa,0.004158618,1904,1,1
kalign,benchmarks/balibase/RV11/BB11037.tfa,0.025533908,4988,0.376,0.16
kalign2,benchmarks/balibase/RV11/BBS11002.tfa,0.002684096,1928,0.745,0.44
kalign2,benchmarks/balibase/RV11/BBS11003.tfa,0.010753745,2156,0.659,0.46
kalign,benchmarks/balibase/RV11/BB11038.tfa,0.019969763,4692,0.625,0.42
clustalo,benchmarks/balibase/RV11/BB11003.tfa,0.861131653,21564,0.613,0.42
kalign,benchmarks/balibase/RV11/BBS11001.tfa,0.003834285,4264,1,1
kalign2,benchmarks/balibase/RV11/BBS11004.tfa,0.010366558,2040,0.623,0.51
kalign,benchmarks/balibase/RV11/BBS11002.tfa,0.00649526,4096,0.611,0.23
muscle,benchmarks/balibase/RV11/BB11018.tfa,0.300573795,10840,0.492,0.19
kalign2,benchmarks/balibase/RV11/BBS11005.tfa,0.024170614,2148,0.415,0.1
kalign,benchmarks/balibase/RV11/BBS11003.tfa,0.010750855,4376,0.638,0.47
kalign2,benchmarks/balibase/RV11/BBS11006.tfa,0.008373819,2028,0.349,0
kalign,benchmarks/balibase/RV11/BBS11004.tfa,0.013658777,4488,0.289,0.12
kalign2,benchmarks/balibase/RV11/BBS11007.tfa,0.020133064,2056,0.578,0.33
kalign2,benchmarks/balibase/RV11/BBS11008.tfa,0.003260826,1800,0.581,0.44
muscle,benchmarks/balibase/RV11/BB11019.tfa,0.084531664,6396,0.571,0.15
kalign2,benchmarks/balibase/RV11/BBS11009.tfa,0.003578798,1848,0.726,0.66
kalign,benchmarks/balibase/RV11/BBS11005.tfa,0.036654409,4736,0.38,0.13
kalign2,benchmarks/balibase/RV11/BBS11010.tfa,0.003238105,1944,0.544,0.36
kalign,benchmarks/balibase/RV11/BBS11006.tfa,0.008969651,4460,0.362,0.12
muscle,benchmarks/balibase/RV11/BB11020.tfa,0.026691839,4924,0.561,0.26
kalign2,benchmarks/balibase/RV11/BBS11011.tfa,0.005326109,1944,0.321,0.19
muscle,benchmarks/balibase/RV11/BB11021.tfa,0.007627618,3616,0.473,0.37
kalign2,benchmarks/balibase/RV11/BBS11012.tfa,0.00736672,1964,0.913,0.85
kalign,benchmarks/balibase/RV11/BBS11007.tfa,0.02554564,4460,0.53,0.24
kalign2,benchmarks/balibase/RV11/BBS11013.tfa,0.002730499,1824,0.337,0
muscle,benchmarks/balibase/RV11/BB11022.tfa,0.008030376,3724,0.073,0
kalign,benchmarks/balibase/RV11/BBS11008.tfa,0.004462979,4144,0.528,0.4
kalign,benchmarks/balibase/RV11/BBS11009.tfa,0.006573005,4196,0.791,0.69
kalign2,benchmarks/balibase/RV11/BBS11014.tfa,0.024295042,2224,0.683,0.46
muscle,benchmarks/balibase/RV11/BB11023.tfa,0.039833409,5052,0.384,0.08
kalign,benchmarks/balibase/RV11/BBS11010.tfa,0.004607168,4364,0.59,0.46
kalign2,benchmarks/balibase/RV11/BBS11015.tfa,0.006184358,1864,0.616,0.48
kalign,benchmarks/balibase/RV11/BBS11011.tfa,0.008176977,4252,0.142,0.07
kalign2,benchmarks/balibase/RV11/BBS11016.tfa,0.018722826,1984,0.531,0.25
muscle,benchmarks/balibase/RV11/BB11024.tfa,0.027345764,4840,0.219,0
kalign,benchmarks/balibase/RV11/BBS11012.tfa,0.008464386,4380,0.871,0.82
kalign2,benchmarks/balibase/RV11/BBS11017.tfa,0.007178207,1856,0.65,0.56
muscle,benchmarks/balibase/RV11/BB11025.tfa,0.005561925,3276,0.065,0
kalign,benchmarks/balibase/RV11/BBS11013.tfa,0.005890587,4192,0.827,0.59
muscle,benchmarks/balibase/RV11/BB11026.tfa,0.034555273,6880,0.191,0
kalign,benchmarks/balibase/RV11/BBS11014.tfa,0.019982253,4608,0.669,0.45
kalign2,benchmarks/balibase/RV11/BBS11018.tfa,0.04433199,2400,0.499,0.24
kalign,benchmarks/balibase/RV11/BBS11015.tfa,0.008928258,4288,0.742,0.64
muscle,benchmarks/balibase/RV11/BB11027.tfa,0.02700959,4792,0.339,0.12
kalign2,benchmarks/balibase/RV11/BBS11019.tfa,0.019140285,2164,0.642,0.17
kalign,benchmarks/balibase/RV11/BBS11016.tfa,0.01805054,4616,0.48,0.24
kalign2,benchmarks/balibase/RV11/BBS11020.tfa,0.013736001,1960,0.633,0.35
kalign,benchmarks/balibase/RV11/BBS11017.tfa,0.005228382,4280,0.701,0.59
muscle,benchmarks/balibase/RV11/BB11028.tfa,0.031729667,4680,0.386,0
kalign2,benchmarks/balibase/RV11/BBS11021.tfa,0.003047651,1868,0.565,0.27
muscle,benchmarks/balibase/RV11/BB11029.tfa,0.006347829,3556,0.394,0.3
kalign2,benchmarks/balibase/RV11/BBS11022.tfa,0.004250784,1844,0.57,0.35
kalign2,benchmarks/balibase/RV11/BBS11023.tfa,0.010898064,1968,0.466,0.23
kalign,benchmarks/balibase/RV11/BBS11018.tfa,0.04837982,4940,0.391,0.18
kalign2,benchmarks/balibase/RV11/BBS11024.tfa,0.010471925,2040,0.49,0.24
kalign2,benchmarks/balibase/RV11/BBS11025.tfa,0.003317269,1764,0.624,0.41
kalign,benchmarks/balibase/RV11/BBS11019.tfa,0.021045547,4404,0.595,0.21
muscle,benchmarks/balibase/RV11/BB11030.tfa,0.076505688,6568,0.354,0.01
kalign2,benchmarks/balibase/RV11/BBS11026.tfa,0.003267727,1928,0.332,0
kalign,benchmarks/balibase/RV11/BBS11020.tfa,0.010049205,4412,0.651,0.3
kalign2,benchmarks/balibase/RV11/BBS11027.tfa,0.007241281,1996,0.395,0.17
kalign,benchmarks/balibase/RV11/BBS11021.tfa,0.008197418,4256,0.592,0.42
kalign2,benchmarks/balibase/RV11/BBS11028.tfa,0.003069933,1948,0.796,0.62
kalign,benchmarks/balibase/RV11/BBS11022.tfa,0.003387594,4124,0.181,0
kalign2,benchmarks/balibase/RV11/BBS11029.tfa,0.002902391,1876,0.523,0.46
kalign,benchmarks/balibase/RV11/BBS11023.tfa,0.011896644,4336,0.502,0.24
kalign2,benchmarks/balibase/RV11/BBS11030.tfa,0.011371487,2052,0.511,0.11
kalign,benchmarks/balibase/RV11/BBS11024.tfa,0.01169196,4272,0.355,0.12
muscle,benchmarks/balibase/RV11/BB11031.tfa,0.104894524,7552,0.264,0
kalign2,benchmarks/balibase/RV11/BBS11031.tfa,0.023416232,2028,0.123,0
kalign,benchmarks/balibase/RV11/BBS11025.tfa,0.008340898,4184,0.307,0
kalign,benchmarks/balibase/RV11/BBS11026.tfa,0.00461849,4156,0.273,0
kalign2,benchmarks/balibase/RV11/BBS11032.tfa,0.009742014,2060,0.622,0.35
kalign,benchmarks/balibase/RV11/BBS11027.tfa,0.00735604,4408,0.294,0.14
kalign2,benchmarks/balibase/RV11/BBS11033.tfa,0.006654961,2008,0.495,0.14
muscle,benchmarks/balibase/RV11/BB11032.tfa,0.043602079,5652,0.444,0.2
kalign,benchmarks/balibase/RV11/BBS11028.tfa,0.01011332,4380,0.653,0.38
kalign2,benchmarks/balibase/RV11/BBS11034.tfa,0.01675369,2044,0.498,0.2
kalign,benchmarks/balibase/RV11/BBS11029.tfa,0.004226743,4096,0.556,0.51
kalign2,benchmarks/balibase/RV11/BBS11035.tfa,0.002862819,1916,0.588,0.24
muscle,benchmarks/balibase/RV11/BB11033.tfa,0.026414299,4888,0.336,0
clustalo,benchmarks/balibase/RV11/BB11004.tfa,0.81472122,23496,0.52,0.36
kalign,benchmarks/balibase/RV11/BBS11030.tfa,0.016427907,4412,0.348,0.04
kalign2,benchmarks/balibase/RV11/BBS11036.tfa,0.016726298,2040,0.496,0.21
kalign2,benchmarks/balibase/RV11/BBS11037.tfa,0.015119187,2064,0.417,0.21
kalign,benchmarks/balibase/RV11/BBS11031.tfa,0.023226188,4544,0.208,0.03
kalign2,benchmarks/balibase/RV11/BBS11038.tfa,0.011156812,1920,0.668,0.39
kalign,benchmarks/balibase/RV11/BBS11032.tfa,0.010662918,4292,0.606,0.29
kalign,benchmarks/balibase/RV11/BBS11033.tfa,0.005796952,4272,0.543,0.18
muscle,benchmarks/balibase/RV11/BB11034.tfa,0.098052531,6880,0.292,0
muscle,benchmarks/balibase/RV11/BB11035.tfa,0.005624629,3616,0.458,0.12
kalign2,benchmarks/balibase/RV12/BB12001.tfa,0.034099821,2248,0.754,0.58
kalign,benchmarks/balibase/RV11/BBS11034.tfa,0.015516534,4440,0.535,0.24
kalign2,benchmarks/balibase/RV12/BB12002.tfa,0.006053049,1892,0.912,0.79
kalign,benchmarks/balibase/RV11/BBS11035.tfa,0.003779022,4132,0.438,0.19
kalign2,benchmarks/balibase/RV12/BB12003.tfa,0.003217973,1840,0.886,0.8
kalign,benchmarks/balibase/RV11/BBS11036.tfa,0.018127576,4424,0.435,0.14
kalign2,benchmarks/balibase/RV12/BB12004.tfa,0.016873208,2140,0.842,0.47
muscle,benchmarks/balibase/RV11/BB11036.tfa,0.064943067,5772,0.43,0.07
kalign,benchmarks/balibase/RV11/BBS11037.tfa,0.011903024,4608,0.404,0.2
kalign2,benchmarks/balibase/RV12/BB12005.tfa,0.008874054,2056,0.871,0.6
kalign,benchmarks/balibase/RV11/BBS11038.tfa,0.012686978,4472,0.698,0.36
kalign2,benchmarks/balibase/RV12/BB12006.tfa,0.005354071,1952,0.926,0.86
kalign,benchmarks/balibase/RV12/BB12001.tfa,0.051138571,4888,0.77,0.61
muscle,benchmarks/balibase/RV11/BB11037.tfa,0.094082885,7308,0.289,0.12
kalign,benchmarks/balibase/RV12/BB12002.tfa,0.012191434,4332,0.919,0.82
kalign,benchmarks/balibase/RV12/BB12003.tfa,0.005259545,4292,0.878,0.76
kalign2,benchmarks/balibase/RV12/BB12007.tfa,0.094338323,2816,0.822,0.67
kalign,benchmarks/balibase/RV12/BB12004.tfa,0.0180623,4556,0.855,0.67
muscle,benchmarks/balibase/RV11/BB11038.tfa,0.076161374,5884,0.613,0.34
kalign,benchmarks/balibase/RV12/BB12005.tfa,0.011353696,4340,0.876,0.7
muscle,benchmarks/balibase/RV11/BBS11001.tfa,0.004230824,3228,0.987,0.98
kalign2,benchmarks/balibase/RV12/BB12008.tfa,0.04245495,2460,0.893,0.68
kalign,benchmarks/balibase/RV12/BB12006.tfa,0.005117605,4408,0.927,0.89
kalign2,benchmarks/balibase/RV12/BB12009.tfa,0.003454629,1960,0.902,0.77
muscle,benchmarks/balibase/RV11/BBS11002.tfa,0.007702803,3500,0.688,0.48
kalign2,benchmarks/balibase/RV12/BB12010.tfa,0.020122263,2156,0.869,0.68
muscle,benchmarks/balibase/RV11/BBS11003.tfa,0.041099786,5284,0.649,0.46
kalign,benchmarks/balibase/RV12/BB12007.tfa,0.104604453,5508,0.817,0.67
muscle,benchmarks/balibase/RV11/BBS11004.tfa,0.021167336,4756,0.467,0.31
kalign,benchmarks/balibase/RV12/BB12008.tfa,0.039992049,4840,0.864,0.57
kalign,benchmarks/balibase/RV12/BB12009.tfa,0.007275003,4256,0.902,0.77
kalign2,benchmarks/balibase/RV12/BB12011.tfa,0.151069891,2860,0.711,0.41
kalign,benchmarks/balibase/RV12/BB12010.tfa,0.015835237,4632,0.873,0.73
muscle,benchmarks/balibase/RV11/BBS11005.tfa,0.109128057,7144,0.436,0.13
kalign2,benchmarks/balibase/RV12/BB12012.tfa,0.008451475,1972,0.547,0.42
muscle,benchmarks/balibase/RV11/BBS11006.tfa,0.026154601,4668,0.283,0
kalign2,benchmarks/balibase/RV12/BB12013.tfa,0.053519146,2648,0.919,0.82
kalign2,benchmarks/balibase/RV12/BB12014.tfa,0.004304288,1880,1,1
kalign2,benchmarks/balibase/RV12/BB12015.tfa,0.011327625,2076,0.878,0.78
kalign,benchmarks/balibase/RV12/BB12011.tfa,0.141493349,5240,0.691,0.37
muscle,benchmarks/balibase/RV11/BBS11007.tfa,0.089417472,6284,0.609,0.36
kalign,benchmarks/balibase/RV12/BB12012.tfa,0.009707582,4260,0.546,0.42
muscle,benchmarks/balibase/RV11/BBS11008.tfa,0.006410794,3540,0.535,0.41
kalign2,benchmarks/balibase/RV12/BB12016.tfa,0.02223714,2720,0.729,0.47
muscle,benchmarks/balibase/RV11/BBS11009.tfa,0.007343749,3400,0.771,0.71
kalign2,benchmarks/balibase/RV12/BB12017.tfa,0.027190763,2344,0.837,0.69
muscle,benchmarks/balibase/RV11/BBS11010.tfa,0.011675308,3896,0.507,0.34
kalign,benchmarks/balibase/RV12/BB12013.tfa,0.054894991,4912,0.906,0.76
kalign2,benchmarks/balibase/RV12/BB12018.tfa,0.02513067,2640,0.899,0.85
muscle,benchmarks/balibase/RV11/BBS11011.tfa,0.013038103,3896,0.397,0.23
kalign,benchmarks/balibase/RV12/BB12014.tfa,0.008903567,4328,0.995,0.97
muscle,benchmarks/balibase/RV11/BBS11012.tfa,0.014519666,4460,0.892,0.84
kalign,benchmarks/balibase/RV12/BB12015.tfa,0.017169539,4396,0.773,0.65
kalign2,benchmarks/balibase/RV12/BB12019.tfa,0.033551754,2152,0.845,0.72
muscle,benchmarks/balibase/RV11/BBS11013.tfa,0.004739499,3164,0.69,0.26
kalign2,benchmarks/balibase/RV12/BB12020.tfa,0.005221212,1840,0.747,0.66
kalign,benchmarks/balibase/RV12/BB12016.tfa,0.02469429,4504,0.845,0.67
kalign2,benchmarks/balibase/RV12/BB12021.tfa,0.003997047,1900,0.879,0.82
kalign2,benchmarks/balibase/RV12/BB12022.tfa,0.008879895,2064,0.906,0.83
kalign,benchmarks/balibase/RV12/BB12017.tfa,0.025831339,4572,0.862,0.74
muscle,benchmarks/balibase/RV11/BBS11014.tfa,0.081441699,6088,0.747,0.59
kalign2,benchmarks/balibase/RV12/BB12023.tfa,0.028535606,2452,0.842,0.74
kalign,benchmarks/balibase/RV12/BB12018.tfa,0.036338396,4504,0.914,0.88
