aligner,instance,time,ram,SP,TC
kalign,benchmarks/HomFam/asp_test-only.tfa,7.13,7.13,-1,-1
kalign,benchmarks/HomFam/az_ref.tfa,0.01,0.01,0.695,0.330
kalign,benchmarks/HomFam/az_test-only.tfa,0.55,0.55,-1,-1
kalign,benchmarks/HomFam/biotin_lipoyl_ref.tfa,0.0,0.0,0.834,0.690
kalign,benchmarks/HomFam/biotin_lipoyl_test-only.tfa,7.86,7.86,-1,-1
kalign,benchmarks/HomFam/blm_ref.tfa,0.0,0.0,0.967,0.910
kalign,benchmarks/HomFam/blm_test-only.tfa,25.68,25.68,-1,-1
kalign,benchmarks/HomFam/blmb_ref.tfa,0.0,0.0,0.393,0.170
clustalo,benchmarks/HomFam/adh_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/aldosered_ref.tfa,0.53,0.53,0.937,0.790
muscle,benchmarks/HomFam/blm_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/blmb_ref.tfa,0.02,0.02,0.423,0.140
clustalo,benchmarks/HomFam/aldosered_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/annexin_ref.tfa,0.35,0.35,1.000,1.000
clustalo,benchmarks/HomFam/annexin_test-only.tfa,41.38,41.38,0.532,0.000
clustalo,benchmarks/HomFam/asp_ref.tfa,1.25,1.25,0.874,0.760
muscle,benchmarks/HomFam/blmb_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/bowman_ref.tfa,0.0,0.0,1.000,1.000
muscle,benchmarks/HomFam/bowman_test-only.tfa,0.27,0.27,-1,-1
muscle,benchmarks/HomFam/cah_ref.tfa,0.01,0.01,0.878,0.760
muscle,benchmarks/HomFam/cah_test-only.tfa,10.07,10.07,-1,-1
muscle,benchmarks/HomFam/cryst_ref.tfa,0.01,0.01,0.653,0.000
muscle,benchmarks/HomFam/cryst_test-only.tfa,3.23,3.23,-1,-1
muscle,benchmarks/HomFam/cyclo_ref.tfa,0.0,0.0,0.846,0.720
kalign,benchmarks/HomFam/blmb_test-only.tfa,35.21,35.21,-1,-1
kalign,benchmarks/HomFam/bowman_ref.tfa,0.0,0.0,1.000,1.000
kalign,benchmarks/HomFam/bowman_test-only.tfa,0.05,0.05,-1,-1
kalign,benchmarks/HomFam/cah_ref.tfa,0.0,0.0,0.838,0.700
kalign,benchmarks/HomFam/cah_test-only.tfa,1.66,1.66,-1,-1
kalign,benchmarks/HomFam/cryst_ref.tfa,0.0,0.0,0.646,0.000
kalign,benchmarks/HomFam/cryst_test-only.tfa,0.46,0.46,-1,-1
kalign,benchmarks/HomFam/cyclo_ref.tfa,0.0,0.0,0.844,0.720
kalign,benchmarks/HomFam/cyclo_test-only.tfa,6.7,6.7,-1,-1
kalign,benchmarks/HomFam/cys_ref.tfa,0.02,0.02,0.877,0.660
kalign,benchmarks/HomFam/cys_test-only.tfa,5.74,5.74,-1,-1
kalign,benchmarks/HomFam/cyt3_ref.tfa,0.0,0.0,0.779,0.620
kalign,benchmarks/HomFam/cyt3_test-only.tfa,0.16,0.16,-1,-1
kalign,benchmarks/HomFam/cytb_ref.tfa,0.0,0.0,0.974,0.940
kalign,benchmarks/HomFam/cytb_test-only.tfa,2.15,2.15,-1,-1
kalign,benchmarks/HomFam/egf_ref.tfa,0.0,0.0,0.725,0.510
kalign,benchmarks/HomFam/egf_test-only.tfa,5.41,5.41,-1,-1
kalign,benchmarks/HomFam/flav_ref.tfa,0.0,0.0,0.875,0.750
muscle,benchmarks/HomFam/cyclo_test-only.tfa,310.89,310.89,-1,-1
muscle,benchmarks/HomFam/cys_ref.tfa,0.02,0.02,0.893,0.720
kalign,benchmarks/HomFam/flav_test-only.tfa,4.61,4.61,-1,-1
kalign,benchmarks/HomFam/ghf10_ref.tfa,0.01,0.01,0.941,0.880
kalign,benchmarks/HomFam/ghf10_test-only.tfa,1.98,1.98,-1,-1
kalign,benchmarks/HomFam/ghf11_ref.tfa,0.0,0.0,0.947,0.880
kalign,benchmarks/HomFam/ghf11_test-only.tfa,0.35,0.35,-1,-1
kalign,benchmarks/HomFam/ghf13_ref.tfa,0.03,0.03,0.660,0.340
clustalo,benchmarks/HomFam/asp_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/az_ref.tfa,0.64,0.64,0.686,0.390
clustalo,benchmarks/HomFam/az_test-only.tfa,24.53,24.53,0.130,0.000
clustalo,benchmarks/HomFam/biotin_lipoyl_ref.tfa,0.08,0.08,0.853,0.780
muscle,benchmarks/HomFam/cys_test-only.tfa,114.69,114.69,-1,-1
muscle,benchmarks/HomFam/cyt3_ref.tfa,0.0,0.0,0.850,0.670
muscle,benchmarks/HomFam/cyt3_test-only.tfa,0.48,0.48,-1,-1
muscle,benchmarks/HomFam/cytb_ref.tfa,0.0,0.0,0.891,0.730
muscle,benchmarks/HomFam/cytb_test-only.tfa,34.73,34.73,-1,-1
muscle,benchmarks/HomFam/egf_ref.tfa,0.0,0.0,0.734,0.540
muscle,benchmarks/HomFam/egf_test-only.tfa,82.56,82.56,-1,-1
muscle,benchmarks/HomFam/flav_ref.tfa,0.01,0.01,0.853,0.700
clustalo,benchmarks/HomFam/biotin_lipoyl_test-only.tfa,180.11,180.11,2.739,0.000
clustalo,benchmarks/HomFam/blm_ref.tfa,0.39,0.39,0.951,0.870
muscle,benchmarks/HomFam/flav_test-only.tfa,84.24,84.24,-1,-1
muscle,benchmarks/HomFam/ghf10_ref.tfa,0.02,0.02,0.915,0.830
muscle,benchmarks/HomFam/ghf10_test-only.tfa,15.46,15.46,-1,-1
muscle,benchmarks/HomFam/ghf11_ref.tfa,0.0,0.0,0.901,0.820
muscle,benchmarks/HomFam/ghf11_test-only.tfa,1.28,1.28,-1,-1
muscle,benchmarks/HomFam/ghf13_ref.tfa,0.06,0.06,0.665,0.330
kalign,benchmarks/HomFam/ghf13_test-only.tfa,27.63,27.63,-1,-1
kalign,benchmarks/HomFam/ghf1_ref.tfa,0.02,0.02,0.948,0.880
kalign,benchmarks/HomFam/ghf1_test-only.tfa,12.67,12.67,-1,-1
kalign,benchmarks/HomFam/ghf22_ref.tfa,0.0,0.0,0.951,0.880
kalign,benchmarks/HomFam/ghf22_test-only.tfa,0.47,0.47,-1,-1
kalign,benchmarks/HomFam/ghf5_ref.tfa,0.01,0.01,0.553,0.340
kalign,benchmarks/HomFam/ghf5_test-only.tfa,5.58,5.58,-1,-1
kalign,benchmarks/HomFam/glob_ref.tfa,0.03,0.03,0.909,0.510
kalign,benchmarks/HomFam/glob_test-only.tfa,2.74,2.74,-1,-1
kalign,benchmarks/HomFam/gluts_ref.tfa,0.01,0.01,0.932,0.820
kalign,benchmarks/HomFam/gluts_test-only.tfa,11.95,11.95,-1,-1
kalign,benchmarks/HomFam/gpdh_ref.tfa,0.02,0.02,0.952,0.900
kalign,benchmarks/HomFam/gpdh_test-only.tfa,6.84,6.84,-1,-1
kalign,benchmarks/HomFam/hip_ref.tfa,0.0,0.0,0.838,0.720
kalign,benchmarks/HomFam/hip_test-only.tfa,0.03,0.03,-1,-1
kalign,benchmarks/HomFam/hla_ref.tfa,0.0,0.0,1.000,1.000
clustalo,benchmarks/HomFam/blm_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/blmb_ref.tfa,0.33,0.33,0.529,0.330
kalign,benchmarks/HomFam/hla_test-only.tfa,15.87,15.87,-1,-1
kalign,benchmarks/HomFam/hom_ref.tfa,0.0,0.0,0.949,0.790
muscle,benchmarks/HomFam/ghf13_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/ghf1_ref.tfa,0.04,0.04,0.923,0.810
kalign,benchmarks/HomFam/hom_test-only.tfa,6.9,6.9,-1,-1
kalign,benchmarks/HomFam/hormone_rec_ref.tfa,0.0,0.0,0.748,0.610
kalign,benchmarks/HomFam/hormone_rec_test-only.tfa,4.31,4.31,-1,-1
kalign,benchmarks/HomFam/hpr_ref.tfa,0.0,0.0,1.000,1.000
kalign,benchmarks/HomFam/hpr_test-only.tfa,2.29,2.29,-1,-1
kalign,benchmarks/HomFam/hr_ref.tfa,0.0,0.0,1.000,1.000
kalign,benchmarks/HomFam/hr_test-only.tfa,1.99,1.99,-1,-1
kalign,benchmarks/HomFam/icd_ref.tfa,0.02,0.02,0.899,0.790
kalign,benchmarks/HomFam/icd_test-only.tfa,12.33,12.33,-1,-1
kalign,benchmarks/HomFam/il8_ref.tfa,0.0,0.0,0.926,0.860
kalign,benchmarks/HomFam/il8_test-only.tfa,0.37,0.37,-1,-1
kalign,benchmarks/HomFam/ins_ref.tfa,0.0,0.0,1.000,1.000
kalign,benchmarks/HomFam/ins_test-only.tfa,0.25,0.25,-1,-1
kalign,benchmarks/HomFam/int_ref.tfa,0.0,0.0,0.860,0.730
muscle,benchmarks/HomFam/ghf1_test-only.tfa,175.71,175.71,-1,-1
muscle,benchmarks/HomFam/ghf22_ref.tfa,0.01,0.01,0.959,0.900
muscle,benchmarks/HomFam/ghf22_test-only.tfa,1.36,1.36,-1,-1
muscle,benchmarks/HomFam/ghf5_ref.tfa,0.03,0.03,0.450,0.230
kalign,benchmarks/HomFam/int_test-only.tfa,11.9,11.9,-1,-1
kalign,benchmarks/HomFam/kringle_ref.tfa,0.0,0.0,0.933,0.850
kalign,benchmarks/HomFam/kringle_test-only.tfa,0.42,0.42,-1,-1
kalign,benchmarks/HomFam/kunitz_ref.tfa,0.0,0.0,0.960,0.800
kalign,benchmarks/HomFam/kunitz_test-only.tfa,0.95,0.95,-1,-1
kalign,benchmarks/HomFam/ldh_ref.tfa,0.02,0.02,0.845,0.660
kalign,benchmarks/HomFam/ldh_test-only.tfa,8.52,8.52,-1,-1
kalign,benchmarks/HomFam/ltn_ref.tfa,0.02,0.02,0.937,0.870
kalign,benchmarks/HomFam/ltn_test-only.tfa,1.16,1.16,-1,-1
kalign,benchmarks/HomFam/lyase_1_ref.tfa,0.01,0.01,0.792,0.670
muscle,benchmarks/HomFam/ghf5_test-only.tfa,74.63,74.63,-1,-1
muscle,benchmarks/HomFam/glob_ref.tfa,0.04,0.04,0.912,0.620
muscle,benchmarks/HomFam/glob_test-only.tfa,34.32,34.32,-1,-1
muscle,benchmarks/HomFam/gluts_ref.tfa,0.03,0.03,0.918,0.780
kalign,benchmarks/HomFam/lyase_1_test-only.tfa,15.05,15.05,-1,-1
kalign,benchmarks/HomFam/mmp_ref.tfa,0.0,0.0,0.981,0.940
kalign,benchmarks/HomFam/mmp_test-only.tfa,1.41,1.41,-1,-1
kalign,benchmarks/HomFam/mofe_ref.tfa,0.02,0.02,0.802,0.710
kalign,benchmarks/HomFam/mofe_test-only.tfa,5.76,5.76,-1,-1
kalign,benchmarks/HomFam/msb_ref.tfa,0.0,0.0,0.903,0.820
kalign,benchmarks/HomFam/msb_test-only.tfa,4.36,4.36,-1,-1
kalign,benchmarks/HomFam/myb_DNA-binding_ref.tfa,0.0,0.0,0.949,0.880
clustalo,benchmarks/HomFam/blmb_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/bowman_ref.tfa,0.04,0.04,1.000,1.000
clustalo,benchmarks/HomFam/bowman_test-only.tfa,2.23,2.23,-1,-1
clustalo,benchmarks/HomFam/cah_ref.tfa,0.22,0.22,0.880,0.750
kalign,benchmarks/HomFam/myb_DNA-binding_test-only.tfa,6.22,6.22,-1,-1
kalign,benchmarks/HomFam/oxidored_q6_ref.tfa,0.0,0.0,0.973,0.930
kalign,benchmarks/HomFam/oxidored_q6_test-only.tfa,2.43,2.43,-1,-1
kalign,benchmarks/HomFam/p450_ref.tfa,0.03,0.03,0.602,0.230
clustalo,benchmarks/HomFam/cah_test-only.tfa,143.43,143.43,0.053,0.000
clustalo,benchmarks/HomFam/cryst_ref.tfa,0.22,0.22,0.470,0.000
clustalo,benchmarks/HomFam/cryst_test-only.tfa,19.9,19.9,0.368,0.000
clustalo,benchmarks/HomFam/cyclo_ref.tfa,0.15,0.15,0.862,0.740
muscle,benchmarks/HomFam/gluts_test-only.tfa,377.81,377.81,-1,-1
muscle,benchmarks/HomFam/gpdh_ref.tfa,0.03,0.03,0.954,0.910
muscle,benchmarks/HomFam/gpdh_test-only.tfa,160.18,160.18,-1,-1
muscle,benchmarks/HomFam/hip_ref.tfa,0.0,0.0,0.762,0.540
muscle,benchmarks/HomFam/hip_test-only.tfa,0.07,0.07,-1,-1
muscle,benchmarks/HomFam/hla_ref.tfa,0.0,0.0,1.000,1.000
clustalo,benchmarks/HomFam/cyclo_test-only.tfa,565.22,565.22,-1,-1
clustalo,benchmarks/HomFam/cys_ref.tfa,0.69,0.69,0.926,0.810
muscle,benchmarks/HomFam/hla_test-only.tfa,482.31,482.31,-1,-1
muscle,benchmarks/HomFam/hom_ref.tfa,0.0,0.0,0.990,0.950
clustalo,benchmarks/HomFam/cys_test-only.tfa,599.12,599.12,0.132,0.000
clustalo,benchmarks/HomFam/cyt3_ref.tfa,0.1,0.1,0.823,0.610
clustalo,benchmarks/HomFam/cyt3_test-only.tfa,12.25,12.25,0.035,0.000
clustalo,benchmarks/HomFam/cytb_ref.tfa,0.07,0.07,0.872,0.660
clustalo,benchmarks/HomFam/cytb_test-only.tfa,117.32,117.32,0.306,0.000
clustalo,benchmarks/HomFam/egf_ref.tfa,0.1,0.1,0.692,0.540
muscle,benchmarks/HomFam/hom_test-only.tfa,230.39,230.39,-1,-1
muscle,benchmarks/HomFam/hormone_rec_ref.tfa,0.01,0.01,0.710,0.480
clustalo,benchmarks/HomFam/egf_test-only.tfa,76.73,76.73,0.414,0.000
clustalo,benchmarks/HomFam/flav_ref.tfa,0.14,0.14,0.868,0.750
muscle,benchmarks/HomFam/hormone_rec_test-only.tfa,68.21,68.21,-1,-1
muscle,benchmarks/HomFam/hpr_ref.tfa,0.0,0.0,1.000,1.000
muscle,benchmarks/HomFam/hpr_test-only.tfa,18.34,18.34,-1,-1
muscle,benchmarks/HomFam/hr_ref.tfa,0.0,0.0,1.000,1.000
muscle,benchmarks/HomFam/hr_test-only.tfa,22.51,22.51,-1,-1
muscle,benchmarks/HomFam/icd_ref.tfa,0.01,0.01,0.900,0.800
clustalo,benchmarks/HomFam/flav_test-only.tfa,232.21,232.21,0.266,0.000
clustalo,benchmarks/HomFam/ghf10_ref.tfa,0.35,0.35,0.868,0.770
muscle,benchmarks/HomFam/icd_test-only.tfa,203.37,203.37,-1,-1
muscle,benchmarks/HomFam/il8_ref.tfa,0.0,0.0,0.951,0.850
muscle,benchmarks/HomFam/il8_test-only.tfa,1.81,1.81,-1,-1
muscle,benchmarks/HomFam/ins_ref.tfa,0.0,0.0,1.000,1.000
muscle,benchmarks/HomFam/ins_test-only.tfa,1.66,1.66,-1,-1
muscle,benchmarks/HomFam/int_ref.tfa,0.01,0.01,0.873,0.780
clustalo,benchmarks/HomFam/ghf10_test-only.tfa,193.9,193.9,0.022,0.000
clustalo,benchmarks/HomFam/ghf11_ref.tfa,0.13,0.13,0.921,0.840
clustalo,benchmarks/HomFam/ghf11_test-only.tfa,19.74,19.74,0.051,0.000
clustalo,benchmarks/HomFam/ghf13_ref.tfa,2.01,2.01,0.694,0.450
muscle,benchmarks/HomFam/int_test-only.tfa,376.6,376.6,-1,-1
muscle,benchmarks/HomFam/kringle_ref.tfa,0.0,0.0,0.933,0.850
muscle,benchmarks/HomFam/kringle_test-only.tfa,2.36,2.36,-1,-1
muscle,benchmarks/HomFam/kunitz_ref.tfa,0.0,0.0,0.960,0.800
muscle,benchmarks/HomFam/kunitz_test-only.tfa,7.72,7.72,-1,-1
muscle,benchmarks/HomFam/ldh_ref.tfa,0.05,0.05,0.856,0.700
muscle,benchmarks/HomFam/ldh_test-only.tfa,125.61,125.61,-1,-1
muscle,benchmarks/HomFam/ltn_ref.tfa,0.03,0.03,0.930,0.840
muscle,benchmarks/HomFam/ltn_test-only.tfa,6.05,6.05,-1,-1
muscle,benchmarks/HomFam/lyase_1_ref.tfa,0.01,0.01,0.811,0.710
clustalo,benchmarks/HomFam/ghf13_test-only.tfa,-1,-1,-1,-1
